CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,NOMBRE_INSTITUCIÓN,CÓDIGO_SNIES_DEL_PROGRAMA,NOMBRE_DEL_PROGRAMA,CAMPO_AMPLIO,NIVEL_DE_FORMACIÓN,departamentoIE,MunicipioIE,Codigo EAFIT,NombrePrograma EAFIT,NIVEL_DE_FORMACIÓN EAFIT,CAMPO_AMPLIO_EAFIT,label,departamentoEAFIT,MunicipioEAFIT
2833,2833,corporacion universitaria remington,105507,administracion de empresas,administracion de empresas y derecho,Universitario,antioquia,medellin,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1707,1707,fundacion universidad de bogota jorge tadeo lozano,105520,mercadeo,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,90979,mercadeo,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2715,2715,fundacion universitaria de popayan,105530,administracion de empresas,administracion de empresas y derecho,Universitario,cauca,popayan,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1115,1115,universidad de la amazonia,10554,derecho,administracion de empresas y derecho,Universitario,huila,altamira,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
9906,9906,corporacion universitaria para el desarrollo empresarial y social mision paz,105550,comunicacion social,ciencias sociales periodismo e informacion,Universitario,valle del cauca,santiago de cali,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1831,1831,universidad de ibague,105564,administracion de empresas,administracion de empresas y derecho,Universitario,tolima,ibague,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1206,1206,universidad de narino,105565,administracion de empresas,administracion de empresas y derecho,Universitario,narino,tuquerres,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2829,2829,corporacion universitaria minuto de dios uniminuto,105576,contaduria publica,administracion de empresas y derecho,Universitario,valle del cauca,guadalajara de buga,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1703,1703,universidad incca de colombia,10559,psicologia,ciencias sociales periodismo e informacion,Universitario,bolivar,cartagena de indias,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1703,1703,universidad incca de colombia,1056,derecho,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2847,2847,universidad de investigacion y desarrollo udi,105606,psicologia,ciencias sociales periodismo e informacion,Universitario,santander,bucaramanga,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
9119,9119,corporacion universitaria americana,105614,administracion de empresas,administracion de empresas y derecho,Universitario,atlantico,barranquilla,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2850,2850,corporacion universitaria antonio jose de sucre corposucre,105624,comunicacion social,ciencias sociales periodismo e informacion,Universitario,bolivar,cartagena de indias,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1823,1823,universidad autonoma de bucaramanga unab,105646,psicologia,ciencias sociales periodismo e informacion,Universitario,casanare,yopal,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
9116,9116,fundacion universitaria claretiana uniclaretiana,105669,ingenieria de sistemas,ingenieria industria y construccion,Universitario,valle del cauca,santiago de cali,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2812,2812,universidad ean,105682,marketing,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,90979,mercadeo,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2728,2728,fundacion universitaria del area andina,10569,contaduria publica,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
4813,4813,corporacion unificada nacional de educacion superior cun,105699,comunicacion social,ciencias sociales periodismo e informacion,Universitario,huila,neiva,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1703,1703,universidad incca de colombia,1057,economia,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,3182,economia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1729,1729,universidad el bosque,10571,administracion de empresas,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1110,1110,universidad del cauca,105715,contaduria publica,administracion de empresas y derecho,Universitario,cauca,santander de quilichao,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2830,2830,corporacion universitaria iberoamericana,105719,psicologia,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1828,1828,universidad icesi,105730,musica,arte y humanidades,Universitario,valle del cauca,santiago de cali,4959,musica,Universitario,arte y humanidades,1,antioquia,medellin
2728,2728,fundacion universitaria del area andina,105739,psicologia,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1714,1714,colegio mayor de nuestra senora del rosario,10574,administracion de negocios internacionales,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
5802,5802,universidad ecci,105761,derecho,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1812,1812,universidad de medellin,105770,ciencia politica,ciencias sociales periodismo e informacion,Universitario,antioquia,medellin,19032,ciencias politicas,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
4813,4813,corporacion unificada nacional de educacion superior cun,105790,comunicacion social,ciencias sociales periodismo e informacion,Universitario,atlantico,barranquilla,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
9119,9119,corporacion universitaria americana,105793,negocios internacionales,administracion de empresas y derecho,Universitario,atlantico,barranquilla,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2731,2731,fundacion universitaria catolica lumen gentium unicatolica cali,105802,derecho,administracion de empresas y derecho,Universitario,valle del cauca,santiago de cali,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1206,1206,universidad de narino,105805,ingenieria agronomica,agropecuario silvicultura pesca y veterinaria,Universitario,narino,tuquerres,107709,ingenieria agronomica,Universitario,agropecuario silvicultura pesca y veterinaria,1,antioquia,medellin
1120,1123,universidad popular del cesar,105814,economia,ciencias sociales periodismo e informacion,Universitario,cesar,aguachica,3182,economia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
9129,9129,fundacion universitaria cafam unicafam,105827,negocios internacionales,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1218,1218,universidad de la guajira,105832,psicologia,ciencias sociales periodismo e informacion,Universitario,la guajira,riohacha,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
3302,3302,instituto tecnologico metropolitano,105852,contaduria publica,administracion de empresas y derecho,Universitario,antioquia,medellin,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2731,2731,fundacion universitaria catolica lumen gentium unicatolica cali,105863,contaduria publica,administracion de empresas y derecho,Universitario,valle del cauca,santiago de cali,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2834,2834,universitaria agustiniana uniagustiniana,105865,comunicacion social,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1728,1733,universidad sergio arboleda,105868,psicologia,ciencias sociales periodismo e informacion,Universitario,magdalena,santa marta,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2301,2301,unidad central del valle del cauca,10587,ingenieria de sistemas,ingenieria industria y construccion,Universitario,valle del cauca,tulua,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
3204,3204,tecnologico de antioquia,105921,derecho,administracion de empresas y derecho,Universitario,antioquia,medellin,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2832,2832,universidad de santander udes,105925,geologia,ciencias naturales matematicas y estadistica,Universitario,santander,bucaramanga,1251,geologia,Universitario,ciencias naturales matematicas y estadistica,1,antioquia,medellin
9922,9922,fundacion universitaria comfamiliar risaralda,105960,administracion financiera,administracion de empresas y derecho,Universitario,risaralda,pereira,102816,finanzas,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1203,1203,universidad del valle,105967,estudios politicos y resolucion de conflictos,ciencias sociales periodismo e informacion,Universitario,cauca,santander de quilichao,19032,ciencias politicas,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1832,1832,universidad tecnologica de bolivar,105968,ingenieria quimica,ingenieria industria y construccion,Universitario,bolivar,cartagena de indias,2923,ingenieria de procesos,Universitario,ingenieria industria y construccion,1,antioquia,medellin
9922,9922,fundacion universitaria comfamiliar risaralda,105994,administracion de empresas,administracion de empresas y derecho,Universitario,risaralda,pereira,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
9922,9922,fundacion universitaria comfamiliar risaralda,105999,administracion de mercadeo,administracion de empresas y derecho,Universitario,risaralda,pereira,90979,mercadeo,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1703,1703,universidad incca de colombia,1060,ingenieria de sistemas,ingenieria industria y construccion,Universitario,bogota d c,bogota d c,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1201,1201,universidad de antioquia,106030,biologia,ciencias naturales matematicas y estadistica,Universitario,antioquia,andes,101947,biologia,Universitario,ciencias naturales matematicas y estadistica,1,antioquia,medellin
1826,1826,universidad antonio narino,106036,ingenieria civil,ingenieria industria y construccion,Universitario,boyaca,duitama,1247,ingenieria civil,Universitario,ingenieria industria y construccion,1,antioquia,medellin
4110,4110,instituto tolimense de formacion tecnica profesional,106043,ingenieria agronomica,agropecuario silvicultura pesca y veterinaria,Universitario,tolima,espinal,107709,ingenieria agronomica,Universitario,agropecuario silvicultura pesca y veterinaria,1,antioquia,medellin
1707,1707,fundacion universidad de bogota jorge tadeo lozano,106133,estudios literarios y edicion,arte y humanidades,Universitario,bogota d c,bogota d c,106504,literatura,Universitario,arte y humanidades,1,antioquia,medellin
1202,1202,universidad del atlantico,10614,fisica,ciencias naturales matematicas y estadistica,Universitario,atlantico,barranquilla,17581,ingenieria fisica,Universitario,ingenieria industria y construccion,1,antioquia,medellin
9103,9103,escuela militar de aviacion marco fidel suarez,10615,ingenieria mecanica,ingenieria industria y construccion,Universitario,valle del cauca,santiago de cali,1250,ingenieria mecanica,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2713,2713,fundacion universitaria los libertadores,106150,negocios internacionales,administracion de empresas y derecho,Universitario,bolivar,cartagena de indias,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1803,1803,universidad de la salle,106153,ingenieria quimica,ingenieria industria y construccion,Universitario,bogota d c,bogota d c,2923,ingenieria de procesos,Universitario,ingenieria industria y construccion,1,antioquia,medellin
3720,3720,fundacion universitaria esumer,106191,administracion comercial y de mercadeo,administracion de empresas y derecho,Universitario,antioquia,medellin,90979,mercadeo,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1703,1703,universidad incca de colombia,1062,ingenieria mecanica,ingenieria industria y construccion,Universitario,bogota d c,bogota d c,1250,ingenieria mecanica,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2715,2715,fundacion universitaria de popayan,106233,comunicacion social,ciencias sociales periodismo e informacion,Universitario,cauca,popayan,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1710,1723,universidad pontificia bolivariana,10625,ingenieria mecanica,ingenieria industria y construccion,Universitario,santander,bucaramanga,1250,ingenieria mecanica,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2102,2102,universidad nacional abierta y a distancia unad,106255,musica,arte y humanidades,Universitario,bogota d c,bogota d c,4959,musica,Universitario,arte y humanidades,1,antioquia,medellin
2302,2302,institucion universitaria de envigado,106268,administracion financiera,administracion de empresas y derecho,Universitario,antioquia,envigado,102816,finanzas,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2829,2829,corporacion universitaria minuto de dios uniminuto,106269,ingenieria de sistemas,ingenieria industria y construccion,Universitario,cundinamarca,zipaquira,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2829,2829,corporacion universitaria minuto de dios uniminuto,106270,ingenieria de sistemas,ingenieria industria y construccion,Universitario,cundinamarca,girardot,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2829,2829,corporacion universitaria minuto de dios uniminuto,106273,ingenieria de sistemas,ingenieria industria y construccion,Universitario,cundinamarca,soacha,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1729,1729,universidad el bosque,106279,negocios internacionales,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1729,1729,universidad el bosque,106283,contaduria publica,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1703,1703,universidad incca de colombia,1063,biologia,ciencias naturales matematicas y estadistica,Universitario,bogota d c,bogota d c,101947,biologia,Universitario,ciencias naturales matematicas y estadistica,1,antioquia,medellin
1203,1203,universidad del valle,106359,comunicacion social,ciencias sociales periodismo e informacion,Universitario,valle del cauca,guadalajara de buga,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
3107,3107,institucion universitaria pascual bravo,106410,ingenieria mecanica,ingenieria industria y construccion,Universitario,antioquia,medellin,1250,ingenieria mecanica,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2701,2701,institucion universitaria colegios de colombia unicoc,106442,derecho,administracion de empresas y derecho,Universitario,cundinamarca,chia,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1826,1826,universidad antonio narino,10647,contaduria publica,administracion de empresas y derecho,Universitario,choco,quibdo,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1712,1712,universidad eafit,106504,literatura,arte y humanidades,Universitario,antioquia,medellin,106504,literatura,Universitario,arte y humanidades,1,antioquia,medellin
2302,2302,institucion universitaria de envigado,106511,mercadeo,administracion de empresas y derecho,Universitario,antioquia,envigado,90979,mercadeo,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2834,2834,universitaria agustiniana uniagustiniana,106528,administracion de empresas,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1114,1114,universidad surcolombiana,106544,biologia aplicada,ciencias naturales matematicas y estadistica,Universitario,huila,neiva,101947,biologia,Universitario,ciencias naturales matematicas y estadistica,1,antioquia,medellin
4721,4721,fundacion universitaria horizonte,106552,comunicacion social,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2836,2836,corporacion universitaria empresarial de salamanca,106577,ingenieria de sistemas de informacion,ingenieria industria y construccion,Universitario,atlantico,barranquilla,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1704,1704,universidad santo tomas,106581,ingenieria mecanica,ingenieria industria y construccion,Universitario,meta,villavicencio,1250,ingenieria mecanica,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2813,2813,universidad eia,106582,fisica,ciencias naturales matematicas y estadistica,Universitario,antioquia,envigado,17581,ingenieria fisica,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1735,9122,universidad manuela beltran umb,106610,administracion de empresas,administracion de empresas y derecho,Universitario,santander,bucaramanga,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1301,1301,universidad distrital francisco jose de caldas,106628,comunicacion social y periodismo,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1101,1101,universidad nacional de colombia,106654,estudios literarios,arte y humanidades,Universitario,bogota d c,bogota d c,106504,literatura,Universitario,arte y humanidades,1,antioquia,medellin
1101,1101,universidad nacional de colombia,106661,ingenieria de sistemas y computacion,tecnologias de la informacion y la comunicacion tic,Universitario,bogota d c,bogota d c,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2724,2724,fundacion universitaria de san gil unisangil,106689,derecho,administracion de empresas y derecho,Universitario,boyaca,chiquinquira,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2720,2720,fundacion universitaria juan de castellanos,106702,musica,arte y humanidades,Universitario,boyaca,tunja,4959,musica,Universitario,arte y humanidades,1,antioquia,medellin
2709,2709,fundacion universitaria san martin,106714,contaduria publica,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2709,2709,fundacion universitaria san martin,106715,administracion de empresas,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2848,2848,corporacion universitaria unitec,106721,derecho,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2832,2832,universidad de santander udes,106730,comunicacion social y periodismo,ciencias sociales periodismo e informacion,Universitario,santander,bucaramanga,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
4818,4818,corporacion universitaria latinoamericana cul,106745,ingenieria de sistemas y computacion,tecnologias de la informacion y la comunicacion tic,Universitario,atlantico,barranquilla,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2805,2805,universidad simon bolivar,106748,ingenieria mecanica,ingenieria industria y construccion,Universitario,atlantico,barranquilla,1250,ingenieria mecanica,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2715,2715,fundacion universitaria de popayan,106807,comunicacion social,ciencias sociales periodismo e informacion,Universitario,cauca,popayan,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2731,2731,fundacion universitaria catolica lumen gentium unicatolica cali,106813,mercadeo,administracion de empresas y derecho,Universitario,valle del cauca,santiago de cali,90979,mercadeo,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2731,2731,fundacion universitaria catolica lumen gentium unicatolica cali,106814,comunicacion social periodismo,ciencias sociales periodismo e informacion,Universitario,valle del cauca,santiago de cali,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2848,2848,corporacion universitaria unitec,106864,psicologia,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1710,1723,universidad pontificia bolivariana,106871,ciencias politicas y gobierno,ciencias sociales periodismo e informacion,Universitario,santander,bucaramanga,19032,ciencias politicas,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1120,1120,universidad popular del cesar,106874,musica,arte y humanidades,Universitario,cesar,valledupar,4959,musica,Universitario,arte y humanidades,1,antioquia,medellin
1816,1818,universidad cooperativa de colombia,106877,derecho,administracion de empresas y derecho,Universitario,santander,barrancabermeja,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
9914,9914,eseit escuela superior de empresa ingenieria y tecnologia,106878,contaduria publica,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1806,1806,universidad libre,10688,derecho,administracion de empresas y derecho,Universitario,bolivar,cartagena de indias,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2731,2731,fundacion universitaria catolica lumen gentium unicatolica cali,106904,ingenieria de sistemas,ingenieria industria y construccion,Universitario,valle del cauca,santiago de cali,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2812,2812,universidad ean,106916,contaduria publica,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1701,1702,pontificia universidad javeriana,106932,ingenieria mecanica,ingenieria industria y construccion,Universitario,valle del cauca,santiago de cali,1250,ingenieria mecanica,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2848,2848,corporacion universitaria unitec,106933,contaduria publica,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1729,1729,universidad el bosque,106936,administracion de empresas,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1704,1732,universidad santo tomas,106947,ingenieria mecanica,ingenieria industria y construccion,Universitario,boyaca,tunja,1250,ingenieria mecanica,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2831,2831,corporacion universitaria de ciencia y desarrollo uniciencia,106953,economia,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,3182,economia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1805,1829,universidad santiago de cali,106978,derecho,administracion de empresas y derecho,Universitario,valle del cauca,palmira,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
9127,9127,corporacion universitaria de sabaneta unisabaneta,107058,contaduria publica,administracion de empresas y derecho,Universitario,antioquia,sabaneta,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1828,1828,universidad icesi,107059,finanzas,administracion de empresas y derecho,Universitario,valle del cauca,santiago de cali,102816,finanzas,Universitario,administracion de empresas y derecho,1,antioquia,medellin
3201,3201,unidades tecnologicas de santander,107060,contaduria publica,administracion de empresas y derecho,Universitario,santander,bucaramanga,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2709,2709,fundacion universitaria san martin,10713,ingenieria de sistemas,ingenieria industria y construccion,Universitario,la guajira,riohacha,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
3201,3201,unidades tecnologicas de santander,107192,profesional en mercadeo,administracion de empresas y derecho,Universitario,santander,bucaramanga,90979,mercadeo,Universitario,administracion de empresas y derecho,1,antioquia,medellin
4721,4721,fundacion universitaria horizonte,107213,derecho,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
4721,4721,fundacion universitaria horizonte,107214,administracion de empresas,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
5802,5802,universidad ecci,107216,ingenieria quimica,ingenieria industria y construccion,Universitario,bogota d c,bogota d c,2923,ingenieria de procesos,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2805,2805,universidad simon bolivar,107220,contaduria publica,administracion de empresas y derecho,Universitario,norte de santander,san jose de cucuta,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2102,2102,universidad nacional abierta y a distancia unad,107233,contaduria publica,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
3301,3301,institucion universitaria antonio jose camacho,107242,comunicacion social,ciencias sociales periodismo e informacion,Universitario,valle del cauca,santiago de cali,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2812,2812,universidad ean,107253,mercadeo y estrategia comercial,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,90979,mercadeo,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2812,2812,universidad ean,107266,psicologia,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2831,2831,corporacion universitaria de ciencia y desarrollo uniciencia,107267,derecho,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1711,1711,universidad de la sabana,107281,comunicacion corporativa,ciencias sociales periodismo e informacion,Universitario,cundinamarca,chia,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2847,2847,universidad de investigacion y desarrollo udi,107298,administracion de empresas,administracion de empresas y derecho,Universitario,meta,villavicencio,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1832,1832,universidad tecnologica de bolivar,107299,ingenieria de sistemas y computacion,tecnologias de la informacion y la comunicacion tic,Universitario,bolivar,cartagena de indias,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
3812,3812,institucion universitaria marco fidel suarez iumafis,107379,derecho,administracion de empresas y derecho,Universitario,antioquia,bello,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2725,2725,politecnico grancolombiano,107380,derecho,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
3201,3201,unidades tecnologicas de santander,107432,administracion de empresas,administracion de empresas y derecho,Universitario,santander,bucaramanga,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2749,2749,institucion universitaria salazar y herrera,107440,derecho,administracion de empresas y derecho,Universitario,antioquia,medellin,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2812,2812,universidad ean,107449,comunicacion,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
3713,3713,fundacion universitaria para el desarrollo humano uninpahu,107514,administracion de empresas,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2829,2829,corporacion universitaria minuto de dios uniminuto,107529,administracion de empresas,administracion de empresas y derecho,Universitario,bolivar,cartagena de indias,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2829,2829,corporacion universitaria minuto de dios uniminuto,107530,administracion de empresas,administracion de empresas y derecho,Universitario,magdalena,santa marta,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1111,1111,universidad tecnologica de pereira utp,107538,administracion de empresas,administracion de empresas y derecho,Universitario,risaralda,pereira,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1201,1201,universidad de antioquia,107539,ingenieria agropecuaria,agropecuario silvicultura pesca y veterinaria,Universitario,antioquia,carepa,107709,ingenieria agronomica,Universitario,agropecuario silvicultura pesca y veterinaria,1,antioquia,medellin
9929,9929,universidad autonoma indigena intercultural uaiin,107564,comunicacion propia intercultural,arte y humanidades,Universitario,cauca,popayan,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1801,1801,universidad la gran colombia,107585,economia,ciencias sociales periodismo e informacion,Universitario,bogota d c,bogota d c,3182,economia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1801,1801,universidad la gran colombia,107587,contaduria publica,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1801,1801,universidad la gran colombia,107588,administracion de empresas,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1118,1118,universidad tecnologica del choco diego luis cordoba,107589,psicologia,ciencias sociales periodismo e informacion,Universitario,choco,quibdo,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
