CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,NOMBRE_INSTITUCIÓN,CÓDIGO_SNIES_DEL_PROGRAMA,NOMBRE_DEL_PROGRAMA,CAMPO_AMPLIO,NIVEL_DE_FORMACIÓN,departamentoIE,MunicipioIE,Codigo EAFIT,NombrePrograma EAFIT,NIVEL_DE_FORMACIÓN EAFIT,CAMPO_AMPLIO_EAFIT,label,departamentoEAFIT,MunicipioEAFIT
2847,2847,universidad de investigacion y desarrollo udi,101453,psicologia,ciencias sociales periodismo e informacion,Universitario,santander,san gil,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
3705,3705,fundacion universitaria tecnologico comfenalco cartagena,101462,psicologia,ciencias sociales periodismo e informacion,Universitario,bolivar,cartagena de indias,90978,psicologia,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2701,2701,institucion universitaria colegios de colombia unicoc,101465,administracion de empresas,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2701,2701,institucion universitaria colegios de colombia unicoc,101466,administracion de empresas,administracion de empresas y derecho,Universitario,valle del cauca,santiago de cali,1245,administracion de negocios,Universitario,administracion de empresas y derecho,1,antioquia,medellin
9119,9119,corporacion universitaria americana,101479,contaduria publica,administracion de empresas y derecho,Universitario,antioquia,medellin,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
9119,9119,corporacion universitaria americana,101481,negocios internacionales,administracion de empresas y derecho,Universitario,antioquia,medellin,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
2725,2725,politecnico grancolombiano,101492,negocios internacionales,administracion de empresas y derecho,Universitario,bogota d c,bogota d c,1244,negocios internacionales,Universitario,administracion de empresas y derecho,1,antioquia,medellin
4813,4813,corporacion unificada nacional de educacion superior cun,101496,comunicacion social,ciencias sociales periodismo e informacion,Universitario,magdalena,santa marta,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
4813,4813,corporacion unificada nacional de educacion superior cun,101498,comunicacion social,ciencias sociales periodismo e informacion,Universitario,huila,neiva,17691,comunicacion social,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1832,1832,universidad tecnologica de bolivar,101524,derecho,administracion de empresas y derecho,Universitario,bolivar,cartagena de indias,7227,derecho,Universitario,administracion de empresas y derecho,1,antioquia,medellin
1710,1710,universidad pontificia bolivariana,101533,ingenieria de sistemas e informatica,ingenieria industria y construccion,Universitario,antioquia,medellin,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1206,1206,universidad de narino,101575,ingenieria civil,ingenieria industria y construccion,Universitario,narino,tuquerres,1247,ingenieria civil,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1206,1206,universidad de narino,101579,ingenieria de sistemas,tecnologias de la informacion y la comunicacion tic,Universitario,narino,san andres de tumaco,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1206,1206,universidad de narino,101580,ingenieria de sistemas,tecnologias de la informacion y la comunicacion tic,Universitario,narino,ipiales,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
2728,2737,fundacion universitaria del area andina,101583,ciencias politicas,ciencias sociales periodismo e informacion,Universitario,risaralda,pereira,19032,ciencias politicas,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
1212,1212,universidad de pamplona,10159,contaduria publica,administracion de empresas y derecho,Universitario,norte de santander,pamplona,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
3201,3201,unidades tecnologicas de santander,101596,ingenieria de sistemas,ingenieria industria y construccion,Universitario,santander,bucaramanga,1248,ingenieria de sistemas,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1114,1114,universidad surcolombiana,101598,ciencia politica,ciencias sociales periodismo e informacion,Universitario,huila,neiva,19032,ciencias politicas,Universitario,ciencias sociales periodismo e informacion,1,antioquia,medellin
2813,2813,universidad eia,101599,ingenieria mecanica,ingenieria industria y construccion,Universitario,antioquia,envigado,1250,ingenieria mecanica,Universitario,ingenieria industria y construccion,1,antioquia,medellin
1704,1732,universidad santo tomas,101613,contaduria publica,administracion de empresas y derecho,Universitario,boyaca,tunja,1246,contaduria publica,Universitario,administracion de empresas y derecho,1,antioquia,medellin
