CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,NOMBRE_INSTITUCIÓN,CÓDIGO_SNIES_DEL_PROGRAMA,NOMBRE_DEL_PROGRAMA,CAMPO_AMPLIO,departamentoIE,MunicipioIE,Codigo EAFIT,NombrePrograma EAFIT,CAMPO_AMPLIO_EAFIT,label,departamentoEAFIT,MunicipioEAFIT,Unnamed: 14,Puntuación total calulada,Nivel de afinidad calculada,SIMILITUD_COSENO,NIVEL_AFINIDAD_CALIBRADO
4813.0,4813.0,corporacion unificada nacional de educacion superior cun,101498,comunicacion social,ciencias sociales periodismo e informacion,huila,neiva,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"1,6",bajo,0.99999994,ALTO
1832.0,1832.0,universidad tecnologica de bolivar,101524,derecho,administracion de empresas y derecho,bolivar,cartagena de indias,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,1.0000001,ALTO
1710.0,1710.0,universidad pontificia bolivariana,101533,ingenieria de sistemas e informatica,ingenieria industria y construccion,antioquia,medellin,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"4,3",alto,0.9156889,ALTO
1206.0,1206.0,universidad de narino,101575,ingenieria civil,ingenieria industria y construccion,narino,tuquerres,1247,ingenieria civil,ingenieria industria y construccion,1,antioquia,medellin,,"1,4",bajo,1.0000001,ALTO
1206.0,1206.0,universidad de narino,101579,ingenieria de sistemas,tecnologias de la informacion y la comunicacion tic,narino,san andres de tumaco,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"1,4",bajo,1.0000001,ALTO
1206.0,1206.0,universidad de narino,101580,ingenieria de sistemas,tecnologias de la informacion y la comunicacion tic,narino,ipiales,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"1,4",bajo,1.0000001,ALTO
2728.0,2737.0,fundacion universitaria del area andina,101583,ciencias politicas,ciencias sociales periodismo e informacion,risaralda,pereira,19032,ciencias politicas,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,8",medio,1.0,ALTO
1212.0,1212.0,universidad de pamplona,10159,contaduria publica,administracion de empresas y derecho,norte de santander,pamplona,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,1,alto,1.0000001,ALTO
3201.0,3201.0,unidades tecnologicas de santander,101596,ingenieria de sistemas,ingenieria industria y construccion,santander,bucaramanga,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,1,bajo,1.0000001,ALTO
1114.0,1114.0,universidad surcolombiana,101598,ciencia politica,ciencias sociales periodismo e informacion,huila,neiva,19032,ciencias politicas,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"1,4",bajo,0.9925115,ALTO
2813.0,2813.0,universidad eia,101599,ingenieria mecanica,ingenieria industria y construccion,antioquia,envigado,1250,ingenieria mecanica,ingenieria industria y construccion,1,antioquia,medellin,,"4,3",alto,0.9999999,ALTO
1704.0,1732.0,universidad santo tomas,101613,contaduria publica,administracion de empresas y derecho,boyaca,tunja,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
3703.0,3703.0,institucion universitaria escolme,101633,administracion de empresas,administracion de empresas y derecho,antioquia,medellin,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
3703.0,3703.0,institucion universitaria escolme,101635,contaduria publica,administracion de empresas y derecho,antioquia,medellin,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
1710.0,1710.0,universidad pontificia bolivariana,10164,psicologia,ciencias sociales periodismo e informacion,antioquia,medellin,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"3,8",alto,0.9999998,ALTO
1711.0,1711.0,universidad de la sabana,101640,ciencias politicas,ciencias sociales periodismo e informacion,cundinamarca,chia,19032,ciencias politicas,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"4,2",alto,1.0,ALTO
2840.0,2840.0,corporacion universitaria empresarial alexander von humboldt cue,101645,psicologia,ciencias sociales periodismo e informacion,quindio,armenia,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"1,6",bajo,0.9999999,ALTO
1704.0,1704.0,universidad santo tomas,101652,psicologia,ciencias sociales periodismo e informacion,meta,villavicencio,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.9999999,ALTO
1112.0,1112.0,universidad de caldas,101663,ingenieria agronomica,agropecuario silvicultura pesca y veterinaria,caldas,manizales,107709,ingenieria agronomica,agropecuario silvicultura pesca y veterinaria,1,antioquia,medellin,,"1,4",bajo,0.99999994,ALTO
2708.0,2708.0,universidad ces,101696,administracion de empresas,administracion de empresas y derecho,antioquia,medellin,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.9486652,ALTO
1201.0,1201.0,universidad de antioquia,101698,comunicacion social periodismo,ciencias sociales periodismo e informacion,antioquia,turbo,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,2,bajo,0.7771944,MEDIO
1201.0,1201.0,universidad de antioquia,101699,comunicacion social periodismo,ciencias sociales periodismo e informacion,antioquia,andes,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,2,bajo,0.7771944,MEDIO
3720.0,3720.0,fundacion universitaria esumer,101728,negocios internacionales,administracion de empresas y derecho,antioquia,medellin,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9999999,ALTO
3705.0,3705.0,fundacion universitaria tecnologico comfenalco cartagena,101735,ingenieria de procesos,ingenieria industria y construccion,bolivar,cartagena de indias,2923,ingenieria de procesos,ingenieria industria y construccion,1,antioquia,medellin,,3,medio,0.99999994,ALTO
2745.0,2745.0,fundacion universitaria compensar,101742,ingenieria de sistemas,ingenieria industria y construccion,bogota d c,bogota d c,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,2",bajo,1.0000001,ALTO
2840.0,2840.0,corporacion universitaria empresarial alexander von humboldt cue,101747,derecho,administracion de empresas y derecho,quindio,armenia,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"1,6",bajo,1.0000001,ALTO
2815.0,2815.0,corporacion universitaria adventista unac,101756,ingenieria de sistemas,ingenieria industria y construccion,antioquia,medellin,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,2",bajo,1.0000001,ALTO
9104.0,9104.0,escuela militar de cadetes general jose maria cordova,101758,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.99999994,ALTO
1701.0,1701.0,pontificia universidad javeriana,101770,derecho,administracion de empresas y derecho,valle del cauca,santiago de cali,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
2832.0,2832.0,universidad de santander udes,101773,contaduria publica,administracion de empresas y derecho,santander,bucaramanga,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
1201.0,1201.0,universidad de antioquia,101792,derecho,administracion de empresas y derecho,antioquia,amalfi,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.99999994,ALTO
1201.0,1201.0,universidad de antioquia,101793,derecho,administracion de empresas y derecho,antioquia,yarumal,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.99999994,ALTO
1701.0,1702.0,pontificia universidad javeriana,101827,negocios internacionales,administracion de empresas y derecho,valle del cauca,santiago de cali,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,4,alto,0.9999999,ALTO
1704.0,1732.0,universidad santo tomas,101838,negocios internacionales,administracion de empresas y derecho,boyaca,tunja,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9999999,ALTO
1720.0,1720.0,universidad mariana,101855,comunicacion social,ciencias sociales periodismo e informacion,narino,pasto,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
2850.0,2850.0,corporacion universitaria antonio jose de sucre corposucre,101856,administracion de negocios internacionales,administracion de empresas y derecho,sucre,sincelejo,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9148377,ALTO
2847.0,2847.0,universidad de investigacion y desarrollo udi,101862,psicologia,ciencias sociales periodismo e informacion,santander,barrancabermeja,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"1,6",bajo,0.9999998,ALTO
2850.0,2850.0,corporacion universitaria antonio jose de sucre corposucre,101863,derecho,administracion de empresas y derecho,bolivar,cartagena de indias,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"1,6",bajo,0.99999994,ALTO
1823.0,1823.0,universidad autonoma de bucaramanga unab,101878,negocios internacionales,administracion de empresas y derecho,santander,bucaramanga,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9999999,ALTO
1711.0,1711.0,universidad de la sabana,101896,administracion de mercadeo y logistica internacionales,administracion de empresas y derecho,cundinamarca,chia,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,4,alto,0.75463295,MEDIO
2850.0,2850.0,corporacion universitaria antonio jose de sucre corposucre,101912,derecho,administracion de empresas y derecho,sucre,sincelejo,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"1,6",bajo,0.99999994,ALTO
2731.0,2731.0,fundacion universitaria catolica lumen gentium unicatolica cali,101913,psicologia,ciencias sociales periodismo e informacion,valle del cauca,santiago de cali,90978,psicologia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"1,6",bajo,0.9999999,ALTO
3104.0,3104.0,colegio mayor del cauca,101922,administracion financiera,administracion de empresas y derecho,cauca,popayan,102816,finanzas,administracion de empresas y derecho,1,antioquia,medellin,,1,bajo,0.81620526,ALTO
2847.0,2847.0,universidad de investigacion y desarrollo udi,101933,ingenieria de sistemas,ingenieria industria y construccion,santander,san gil,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"1,6",bajo,1.0000001,ALTO
4826.0,4826.0,corporacion universitaria regional del caribe iafic,101937,derecho,administracion de empresas y derecho,bolivar,cartagena de indias,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"1,6",bajo,0.99999994,ALTO
1728.0,1728.0,universidad sergio arboleda,101940,administracion de negocios,administracion de empresas y derecho,bogota d c,bogota d c,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.9999998,ALTO
2728.0,2737.0,fundacion universitaria del area andina,101943,administracion financiera,administracion de empresas y derecho,risaralda,pereira,102816,finanzas,administracion de empresas y derecho,1,antioquia,medellin,,"2,8",medio,0.81620526,ALTO
1712.0,1712.0,universidad eafit,101947,biologia,ciencias naturales matematicas y estadistica,antioquia,medellin,101947,biologia,ciencias naturales matematicas y estadistica,1,antioquia,medellin,,"4,8",alto,1.0,ALTO
2850.0,2850.0,corporacion universitaria antonio jose de sucre corposucre,101959,ingenieria de sistemas,ingenieria industria y construccion,bolivar,cartagena de indias,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"1,6",bajo,1.0000001,ALTO
1709.0,1709.0,universidad central,101976,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,8",medio,0.99999994,ALTO
9900.0,9900.0,corporacion universitaria u de colombia,101979,derecho,administracion de empresas y derecho,antioquia,medellin,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
2813.0,2813.0,universidad eia,101988,ingenieria de sistemas y computacion,tecnologias de la informacion y la comunicacion tic,antioquia,medellin,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,8",medio,0.9084426,ALTO
3720.0,3720.0,fundacion universitaria esumer,101999,administracion de empresas,administracion de empresas y derecho,antioquia,medellin,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
2747.0,2747.0,institucion universitaria vision de las americas,102000,administracion de mercadeo,administracion de empresas y derecho,antioquia,medellin,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.83007014,ALTO
1713.0,1713.0,universidad del norte,102003,contaduria publica,administracion de empresas y derecho,atlantico,barranquilla,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
2747.0,2747.0,institucion universitaria vision de las americas,102020,administracion de negocios internacionales,administracion de empresas y derecho,antioquia,medellin,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9148377,ALTO
2850.0,2850.0,corporacion universitaria antonio jose de sucre corposucre,102051,ingenieria de sistemas,ingenieria industria y construccion,sucre,sincelejo,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"1,6",bajo,1.0000001,ALTO
2850.0,2850.0,corporacion universitaria antonio jose de sucre corposucre,102056,administracion de empresas,administracion de empresas y derecho,sucre,sincelejo,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
1833.0,1833.0,corporacion universidad del sinu elias bechara zainum unisinu,102061,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"3,3",medio,0.99999994,ALTO
2847.0,2847.0,universidad de investigacion y desarrollo udi,102063,ingenieria de sistemas,ingenieria industria y construccion,santander,barrancabermeja,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"1,6",bajo,1.0000001,ALTO
2812.0,2812.0,universidad ean,102065,economia,ciencias sociales periodismo e informacion,bogota d c,bogota d c,3182,economia,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,8",medio,0.99999994,ALTO
2813.0,2813.0,universidad eia,102066,ingenieria geologica,ingenieria industria y construccion,antioquia,medellin,1247,ingenieria civil,ingenieria industria y construccion,1,antioquia,medellin,,"2,8",medio,0.639362,BAJO
2719.0,2719.0,universidad catolica luis amigo,102071,comunicacion social,ciencias sociales periodismo e informacion,bogota d c,bogota d c,17691,comunicacion social,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"2,2",bajo,0.99999994,ALTO
3201.0,3201.0,unidades tecnologicas de santander,102103,ingenieria de sistemas,ingenieria industria y construccion,norte de santander,san jose de cucuta,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,1,bajo,1.0000001,ALTO
1805.0,1829.0,universidad santiago de cali,102107,administracion de empresas,administracion de empresas y derecho,valle del cauca,palmira,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.9486652,ALTO
4110.0,4110.0,instituto tolimense de formacion tecnica profesional,102122,ingenieria de sistemas,ingenieria industria y construccion,tolima,espinal,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,1,bajo,1.0000001,ALTO
2812.0,2812.0,universidad ean,102126,ingenieria de produccion,ingenieria industria y construccion,bogota d c,bogota d c,1249,ingenieria de produccion,ingenieria industria y construccion,1,antioquia,medellin,,"2,8",medio,1.0,ALTO
1701.0,1702.0,pontificia universidad javeriana,10213,derecho,administracion de empresas y derecho,valle del cauca,santiago de cali,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"3,7",alto,0.99999994,ALTO
2812.0,2812.0,universidad ean,102139,ingenieria de sistemas,ingenieria industria y construccion,bogota d c,bogota d c,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,8",medio,1.0000001,ALTO
3204.0,3204.0,tecnologico de antioquia,102143,contaduria publica,administracion de empresas y derecho,antioquia,medellin,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,2,alto,1.0000001,ALTO
1804.0,1804.0,universidad autonoma del caribe uniautonoma,102146,ciencias politicas,ciencias sociales periodismo e informacion,atlantico,barranquilla,19032,ciencias politicas,ciencias sociales periodismo e informacion,1,antioquia,medellin,,"1,6",bajo,1.0,ALTO
9902.0,9902.0,fundacion universitaria comfenalco santander,102169,logistica y mercadeo organizacional,administracion de empresas y derecho,santander,bucaramanga,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,0.6114887,MUY BAJO
9131.0,9131.0,fundacion universitaria cervantes san agustin unicervantes,102180,derecho,administracion de empresas y derecho,bogota d c,bogota d c,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"2,2",bajo,1.0000001,ALTO
1110.0,1110.0,universidad del cauca,102182,derecho,administracion de empresas y derecho,cauca,santander de quilichao,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"3,4",medio,1.0000001,ALTO
1110.0,1110.0,universidad del cauca,102183,contaduria publica,administracion de empresas y derecho,cauca,miranda,1246,contaduria publica,administracion de empresas y derecho,1,antioquia,medellin,,1,alto,1.0000001,ALTO
1110.0,1110.0,universidad del cauca,102184,derecho,administracion de empresas y derecho,cauca,miranda,7227,derecho,administracion de empresas y derecho,1,antioquia,medellin,,"1,4",bajo,1.0000001,ALTO
3703.0,3703.0,institucion universitaria escolme,102187,mercadeo,administracion de empresas y derecho,antioquia,medellin,90979,mercadeo,administracion de empresas y derecho,1,antioquia,medellin,,2,bajo,1.0,ALTO
3201.0,3201.0,unidades tecnologicas de santander,102199,administracion de empresas,administracion de empresas y derecho,norte de santander,san jose de cucuta,1245,administracion de negocios,administracion de empresas y derecho,1,antioquia,medellin,,1,bajo,0.9486653,ALTO
2719.0,2719.0,universidad catolica luis amigo,102206,ingenieria de sistemas,ingenieria industria y construccion,antioquia,apartado,1248,ingenieria de sistemas,ingenieria industria y construccion,1,antioquia,medellin,,"2,2",bajo,1.0000001,ALTO
1728.0,1728.0,universidad sergio arboleda,102209,comercio internacional,administracion de empresas y derecho,bogota d c,bogota d c,1244,negocios internacionales,administracion de empresas y derecho,1,antioquia,medellin,,3,medio,0.747129,MEDIO
